Shoal, Width,   1ft,    2ft,    3ft,    4ft,    5ft,    6ft,    7ft,    8ft,    9ft,   10ft,   Land, Mannings
  1,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
  2,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
  3,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
  4,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
  5,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
  6, 10000.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1961.,   0.3
  7, 10000.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  2864.,   0.3
  8, 10000.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  3786.,   0.3
  9, 10000.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  7799.,   0.3
 10, 10000.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  2711.,   0.3
 11,  1740.,   199.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   725.,   0.05
 12,  3395.,  1002.,    86.,   157.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,    57.,   0.05
 13,  1262.,  1218.,     0.,   228.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
 14,  3909.,  2091.,     0.,   151.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   212.,   0.05
 15,  1695.,  2049.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   735.,   0.05
 16,  1155.,  2941.,    46.,   152.,    30.,   183.,    61.,     0.,     0.,     0.,     0.,   533.,   0.05
 17,  1413.,  3621.,     0.,     0.,     0.,     0.,     0.,   830.,     0.,     0.,     0.,     0.,   0.05
 18,  3975.,  3469.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
 19,  2807.,  6025.,   242.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
 20,  2715.,  5570.,    88.,   132.,   102.,   249.,   468.,   278.,     0.,     0.,     0.,   424.,   0.05
 21,   765.,     0.,     0.,    90.,    90.,   179.,   656.,  1641.,   298.,    60.,   597.,     0.,   0.05
 22,   300.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   661.,  1633.,  4939.,     0.,   0.05
 23,   424.,     0.,    30.,     0.,     0.,    30.,     0.,     0.,    30.,     0.,  3476.,   178.,   0.05
 24,  5000.,  1500.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1905.,   1.5
 25,  5000.,  3000.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  3608.,   1.5
 26,  5000.,  3000.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  3323.,   1.5
 27,  2015.,  2059.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   368.,   0.05
 28,  1843.,  2722.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
 29,  1501.,  2485.,     0.,   119.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   179.,   0.05
 30,  1735.,  1763.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   593.,   0.05
 31,  3248.,  3304.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   698.,   0.05
 32,  1472.,  2197.,   671.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   128.,   0.05
 33,  3946.,  3915.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
 34,  1155.,  7280.,     0.,     0.,     0.,     0.,     0.,    97.,     0.,     0.,     0.,     0.,   0.05
 35,  4187.,  4095.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
 36,  2049.,  1790.,   200.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
 37,  1085.,  2607.,     0.,    15.,     0.,     0.,    15.,   165.,     0.,     0.,     0.,     0.,   0.05
 38,   702.,   119.,  2554.,  1099.,   564.,   713.,     0.,    30.,    30.,    30.,    30.,     0.,   0.05
 39,  1747.,  1060.,  3216.,  2545.,   778.,   848.,   424.,     0.,   106.,   106.,   353.,   283.,   0.05
 40,   518.,    30.,   777.,  1166.,     0.,    30.,     0.,     0.,     0.,     0.,     0.,    30.,   0.05
 41,   597.,   283.,  2325.,  3362.,   503.,    94.,     0.,    31.,     0.,     0.,     0.,    31.,   0.05
 42,  1949.,  2567.,     0.,     0.,     0.,     0.,     0.,   258.,     0.,     0.,     0.,   502.,   0.05
 43,  3655.,  3113.,     0.,    36.,    72.,    18.,    18.,   465.,     0.,     0.,     0.,     0.,   0.05
 44,  4813.,  2626.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
 45,   300.,     0.,     0.,     0.,     0.,     0.,    41.,   568.,  1542.,  1623.,  7019.,     0.,   0.05
 46,  2129.,     0.,     0.,    82.,  1479.,  3082.,  2753.,   616.,     0.,     0.,     0.,     0.,   0.05
 47,  1874.,     0.,   239.,   507.,    30.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
 48,  1240.,    89.,  1182.,   975.,   207.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
 49,  1035.,    30.,   596.,   656.,    30.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
 50,  1487.,    29.,   731.,   497.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
 51,   493.,     0.,   911.,   210.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
 52,   300.,    64.,   604.,    95.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,    95.,   0.05
 53,   300.,   351.,   878.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   117.,   0.05
 54,   300.,    90.,   723.,   331.,   271.,    30.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
 55,   300.,    94.,   469.,   219.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
 56,   300.,   103.,   275.,   206.,    34.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
 57,   300.,    30.,   297.,   178.,    59.,    59.,    30.,     0.,     0.,     0.,     0.,     0.,   0.05
 58,   300.,  1331.,   548.,   235.,    78.,    39.,    39.,     0.,     0.,     0.,     0.,   157.,   0.05
 59,   300.,   159.,   477.,   159.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
 60,   300.,   658.,  1151.,    82.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   452.,   0.05
 61,   300.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  2496.,   0.05
 62,   300.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1633.,   0.05
 63,   300.,   144.,    36.,    36.,    36.,   108.,     0.,    36.,     0.,   144.,   431.,  3303.,   0.05
 64,   300.,    30.,     0.,    30.,    30.,    30.,    30.,     0.,    61.,   152.,  1095.,  1065.,   0.05
 65,   300.,    94.,   157.,    31.,    63.,    31.,     0.,     0.,     0.,     0.,     0.,   817.,   0.05
 66,   300.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  2887.,   0.05
 67,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1493.,   0.05
 68,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  2194.,   0.05
 69,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
 70,   300.,     0.,     0.,    33.,    33.,    66.,   989.,  1088.,  3957.,  1781.,   396.,   132.,   0.05
 71,   543.,    83.,  2376.,  1125.,    42.,    42.,     0.,     0.,     0.,     0.,    42.,     0.,   0.05
 72,   481.,   257.,  1930.,   579.,    64.,     0.,     0.,     0.,     0.,    32.,     0.,    32.,   0.05
 73,  1148.,    61.,   917.,  1131.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   642.,   0.05
 74,  1166.,   195.,   942.,   390.,    32.,     0.,     0.,     0.,     0.,     0.,     0.,  1007.,   0.05
 75,  1325.,  1520.,     0.,     0.,     0.,     0.,     0.,   115.,     0.,     0.,     0.,     0.,   0.05
 76,  2054.,  1822.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
 77,  5361.,   652.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
 78,  2139.,  1688.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
 79,  1842.,  1676.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
 80,  1588.,  1222.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,    93.,   0.05
 81,  1811.,  2584.,   437.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
 82,  3307.,  1670.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
 83,  4023.,  2090.,     0.,    18.,     0.,     0.,    18.,    91.,     0.,     0.,     0.,     0.,   0.05
 84,  6486.,   795.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
 85,  1763.,   370.,   228.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
 86,  2251.,   332.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
 87,  2199.,   721.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
 88,  1701.,  1634.,   302.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   302.,   0.05
 89,  2675.,   444.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
 90,  1189.,   799.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
 91,  4965.,  1576.,     0.,     0.,    18.,     0.,     0.,   127.,     0.,     0.,     0.,   199.,   0.05
 92,  1732.,  1971.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   679.,   0.05
 93,  2198.,  1035.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
 94,  1641.,  1798.,   381.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   345.,   0.05
 95,  1620.,  1022.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   299.,   0.05
 96,  1160.,  1921.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
 97,  2497.,   486.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   257.,   0.05
 98,  1550.,  1153.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,    50.,   0.05
 99,  4590.,   718.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   502.,   0.05
100,  1469.,  2556.,   212.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   348.,   0.05
101,  1465.,   224.,   224.,   128.,   993.,  1634.,    32.,     0.,     0.,     0.,     0.,    32.,   0.05
102,  1100.,   138.,   620.,   138.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
103,  1463.,   146.,   584.,   672.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   146.,   0.05
104,  1471.,   207.,   828.,   414.,    30.,     0.,     0.,     0.,     0.,     0.,     0.,   798.,   0.05
105,  1274.,   820.,   729.,   152.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   304.,   0.05
106,  1083.,   320.,   427.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,    71.,   0.05
107,  1870.,   111.,   222.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
108,   706.,    91.,   518.,    30.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
109,  1129.,    67.,   875.,   370.,     0.,    34.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
110,  3158.,    58.,   346.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
111,  4596.,    65.,   294.,    33.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
112,   910.,   437.,  1156.,   500.,   500.,   156.,   500.,    31.,     0.,     0.,     0.,    31.,   0.05
113,   373.,   295.,   265.,    29.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   206.,   0.05
114,  1422.,  1033.,    63.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   156.,   0.05
115,   388.,   137.,   549.,   343.,     0.,    34.,     0.,     0.,     0.,     0.,     0.,   240.,   0.05
116,   870.,   319.,  1115.,   223.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   127.,   0.05
117,  2337.,   197.,   493.,   230.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
118,   536.,   507.,   507.,   222.,    32.,     0.,     0.,     0.,     0.,     0.,     0.,    95.,   0.05
119,   399.,   257.,   542.,   228.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
120,  1302.,   145.,   833.,   797.,   290.,    36.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
121,   783.,   117.,   525.,   175.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,    29.,   0.05
122,  1178.,   438.,   573.,   135.,   169.,   438.,   438.,     0.,     0.,     0.,     0.,   135.,   0.05
123,   421.,   308.,  1438.,    68.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
124,   370.,   212.,  1424.,    91.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   606.,   0.05
125,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1328.,   0.05
126, 10000.,  2000.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  2286.,   1.5
127, 10000.,  1500.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1568.,   1.5
128,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1819.,   0.05
129,  1546.,  1013.,   328.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1226.,   0.05
130,  1140.,   944.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   315.,   0.05
131,   405.,   964.,     0.,     0.,    39.,     0.,     0.,    39.,     0.,     0.,     0.,     0.,   0.05
132,  2268.,   754.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   740.,   0.05
133,  2040.,   718.,    97.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  2134.,   0.05
134,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1293.,   0.05
135, 10000.,  1800.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1930.,   2.
136,  5000.,  1200.,    10.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1362.,   2.
137,  5000.,  1500.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1855.,   2.
138,  5000.,   600.,    10.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   747.,   2.
139,  5000.,  1500.,    20.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1607.,   2.
140,  5000.,  1200.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1369.,   2.
141,  5000.,  2000.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  2168.,   2.
142, 20000.,  1500.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1682.,   4.
143, 20000.,  2000.,    10.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  2109.,   4.
144, 20000.,  2800.,    20.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  2910.,   4.
145,   543.,   955.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   682.,   0.05
146,   718.,   340.,   624.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   510.,   0.05
147,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1003.,   0.05
148,   276.,     0.,    41.,     0.,    41.,     0.,     0.,     0.,     0.,     0.,     0.,  1441.,   0.05
149,  8000.,  1500.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1768.,   1.2
150,  8000.,  2000.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  2272.,   1.2
151,  8000.,  2800.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  3034.,   1.2
152,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  2087.,   0.05
153,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   712.,   0.05
154,   428.,   286.,   222.,    63.,    32.,     0.,     0.,     0.,     0.,     0.,     0.,  1840.,   0.05
155,   434.,   198.,   165.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,    33.,   0.05
156,  1117.,   322.,   450.,   643.,    32.,     0.,     0.,     0.,     0.,     0.,     0.,   257.,   0.05
157,  2584.,   981.,  1397.,   208.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1041.,   0.05
158,  2155.,   122.,   306.,    61.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,    31.,   0.05
159,  1666.,   330.,   264.,    99.,   165.,   198.,     0.,     0.,     0.,     0.,     0.,  1254.,   0.05
160,  1355.,   277.,    92.,    92.,    92.,   801.,     0.,     0.,     0.,     0.,     0.,   585.,   0.05
161,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   639.,   0.05
162,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  2248.,   0.05
163,  2794.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1787.,   0.05
164,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   686.,   0.05
165,  3586.,   258.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   201.,   0.05
166,  1200.,   389.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1345.,   0.05
167,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   783.,   0.05
168, 20000.,  1200.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1594.,   3.
169, 20000.,   600.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   667.,   3.
170, 20000.,  2000.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  2102.,   3.
171, 20000.,  1500.,    10.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1668.,   3.
172, 20000.,   300.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   355.,   3.
173, 20000.,  2800.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  2988.,   3.
174, 20000.,  1300.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1302.,   3.
175,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1211.,   0.05
176,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1206.,   0.05
177,   270.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   915.,   0.05
178,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   491.,   0.05
179,   319.,   148.,   444.,   267.,   474.,     0.,     0.,     0.,     0.,     0.,     0.,  1096.,   0.05
180,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   762.,   0.05
181,   418.,   307.,    31.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   828.,   0.05
182,   976.,     0.,    38.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  2191.,   0.05
183,   259.,   245.,   368.,    31.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,    31.,   0.05
184,   619.,    87.,   116.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   348.,   0.05
185,   468.,    58.,    58.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1070.,   0.05
186,   175.,    81.,   189.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0.05
187,   277.,   333.,   121.,    61.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   182.,   0.05
188,   300.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   418.,   0.05
189,   510.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   412.,   0.05
190,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   376.,   0.05
191,   310.,   232.,   271.,    77.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1044.,   0.05
192,   590.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   625.,   0.05
193,   451.,   179.,    60.,    60.,   119.,   626.,     0.,     0.,     0.,     0.,     0.,   894.,   0.05
194,   659.,    31.,    61.,    92.,    61.,    92.,   275.,  2503.,  1160.,     0.,     0.,   641.,   0.05
195,   837.,   403.,   155.,    31.,    31.,     0.,     0.,     0.,     0.,     0.,     0.,   496.,   0.05
196,   291.,   203.,    68.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1080.,   0.05
197,   942.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   527.,   0.05
198,   604.,   256.,   147.,    37.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   806.,   0.05
199,  1115.,    90.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   420.,   0.05
200,   630.,   331.,   211.,    30.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   722.,   0.05
201,   872.,   715.,   387.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,    60.,   0.05
202,   844.,    30.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1766.,   0.05
203,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   407.,   0.05
204,   865.,   155.,    31.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   618.,   0.05
205,   422.,   324.,   442.,   206.,    59.,     0.,     0.,     0.,     0.,     0.,     0.,   442.,   0.05
206,  1037.,    82.,    41.,     0.,    41.,     0.,     0.,     0.,     0.,     0.,     0.,   411.,   0.05
207,   978.,     0.,    39.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  1213.,   0.05
208,  1249.,   328.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  2027.,   0.05
209,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   696.,   0.05
210,  1314.,   105.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   488.,   0.05
211,   470.,   221.,   379.,    95.,   126.,     0.,     0.,     0.,     0.,     0.,     0.,   316.,   0.05
212,   766.,   221.,    32.,    32.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   789.,   0.05
